OBJECTID,FEATURETYPE,NAME,CLASS,OPERATOR,OWNER,SITEADDRESS,SITESUBURB,POSTCODE,STATE,STATUS,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,PLANIMETRICACCURACY,SPATIALACCURACY,METADATACOMMENT,METADATALINK1,RESTRICTIONS,REVISED,ENO,TEXTNOTE
109,Power Station,West Kiewa Power Station (Mount Beauty Hydro Scheme),Renewable,AGL Hydro Partnership,AGL Energy Pty Ltd,,Mount Beauty,3699,VICTORIA,Operational,Hydroelectric (Gravity),Water,,60,2,10/03/2007,great-divide-fire-nth_2007mar10_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,3,2, ,,,11/09/2012,259332,
112,Power Station,Mortlake Power Station,Non Renewable,,Origin Energy,,Mortlake,3272,VICTORIA,Under Construction,Open Cycle Gas Turbine,Natural Gas,,566,2,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,31/07/2012,AEMO Generator List,,5,Under construction - completion 2011,,,11/09/2012,260008,
113,Power Station,Dartmouth Power Station (Mount Beauty Hydro Scheme),Renewable,AGL Hydro Partnership,AGL Energy Pty Ltd,,Dartmouth,3701,VICTORIA,Operational,Hydroelectric (Gravity),Water,,185,1,27/02/2005,alpine-fire-recovery_2005feb27_air_vis_65cm_mga55,31/07/2012,AEMO Generator List,,4, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\dartmouth_hydro.jpg,,11/09/2012,259320,
114,Power Station,Cape Sir William Grant Wind Farm,Renewable,Pacific Hydro Portland Wind Farm Pty Ltd,Pacific Hydro Pty Ltd,,Portland,3305,VICTORIA,Under Construction,Wind Turbine,Wind,,54,27,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,1/11/2011,Department of Primary Industries - VIC,,3, ,,,11/09/2012,,
115,Power Station,Cape Nelson South Wind Farm,Renewable,Pacific Hydro Portland Wind Farm Pty Ltd,Pacific Hydro Pty Ltd,,Portland West,3305,VICTORIA,Operational,Wind Turbine,Wind,,44,22,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,31/07/2012,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\capenelsonsouth_wind_farm.jpg,,11/09/2012,259634,
116,Power Station,Cape Nelson North Wind Farm,Renewable,Pacific Hydro,Pacific Hydro Pty Ltd,,Portland West,3305,VICTORIA,Under Construction,Wind Turbine,Wind,,22,11,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,1/07/2011,Department of Primary Industries - VIC,,3, ,,,11/09/2012,,
117,Power Station,Ballarat Base Hospital Power Station,Non Renewable,Energy Response,Ballarat Base Hospital,,Ballarat Central,3350,VICTORIA,Operational,Compression Reciprocating Engine,Natural Gas,,2,,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,31/07/2012,AEMO Generator List,,2, ,,,11/09/2012,,
118,Power Station,Anglesea Power Station,Non Renewable,,Alcoa of Australia Ltd,,Anglesea,3230,VICTORIA,Operational,Steam Subcritical,Coal,Brown Coal,150,1,1/11/2004,otway-surfcoast_2004nov01_air_vis_35cm_mga54,31/07/2012,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\anglesea_pwr_stn.jpg,,11/09/2012,259114,
313,Power Station,Maryvale Mill Power Station,Renewable,Australian Paper,Australian Paper,Morwell-Maryvale Road,Maryvale,3840,VICTORIA,Operational,,Biomass,Black Liquor,54.5,,9/02/2007,latrobe_2007feb09_air_vis_15cm_mga55.ecw,1/01/2010,Australian Paper Sustainability Report 2010,1,4,"Point placed at centre of mill, not sure where power station is on the site.  Figure for generation MW may be wrong, could not confirm from company owner",,,11/09/2012,,
338,Power Station,321 Exhibition Street Power Station,Non Renewable,,Cogent Energy,321 Exhibition Street,Melbourne,3000,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,1.2,1,1/01/2009,melbourne_2009jan03_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,1,5,,,,11/09/2012,,
